,Transcript,Topic,Sentiment,Program
0,0,"['clip', 'late', 'think', 'begin_video', 'relief', 'open', 'work', 'economy', 'mean']",0.38146470588235293,Fox News Network FOX NEWS @ NIGHT
1,0,"['drug', 'time', 'thing', 'bright', 'issue', 'come', 'covid', 'question']",0.23936800000000003,Fox News Network FOX NEWS @ NIGHT
2,0,"['percent', 'study', 'look', 'many', 'take']",0.08918333333333332,Fox News Network FOX NEWS @ NIGHT
3,0,"['important', 'vaccine', 'ask', 'tell', 'do', 'possible', 'home', 'much']",0.47215625000000006,Fox News Network FOX NEWS @ NIGHT
4,0,"['serve', 'vet', 'help', 'call', 'governor', 'money', 'federal', 'worker', 'bad', 'use', 'fund']",-0.00029090909090909926,Fox News Network FOX NEWS @ NIGHT
5,2,"['want', 'store', 'alarm', 'worker', 'concern', 'video', 'clip', 'chain', 'synchronize']",-0.16497499999999998,Fox News Network YOUR WORLD WITH NEIL CAVUTO
6,2,"['paper', 'fresh', 'toilet', 'ask', 'type', 'business', 'love', 'product']",0.369575,Fox News Network YOUR WORLD WITH NEIL CAVUTO
7,2,"['shopper', 'seller', 'care', 'restaurant', 'close', 'eat', 'grow', 'crazy', 'instacart', 'sorry']",0.1839,Fox News Network YOUR WORLD WITH NEIL CAVUTO
8,2,"['stew', 'customer', 'buyer', 'hiccup', 'neil', 'great', 'question', 'big', 'speak']",0.5817666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
9,26,"['president', 'ask', 'way', 'election', 'gotcha', 'problem', 'dr_birx', 'good']",0.08584583333333333,Fox News Network THE FIVE
10,26,"['see', 'thing', 'fact', 'work', 'talk', 'idea']",0.4338222222222223,Fox News Network THE FIVE
11,26,"['mask', 'fly', 'wear', 'take', 'flight', 'put']",-0.11233809523809522,Fox News Network THE FIVE
12,26,"['sexual', 'assault', 'call', 'allegation', 'point', 'mean', 'guy', 'endorsement']",0.09766923076923077,Fox News Network THE FIVE
13,26,"['come', 'end', 'great', 'use', 'prom', 'student', 'animal', 'home', 'miss', 'special', 'thank', 'excellent']",0.4612299999999999,Fox News Network THE FIVE
14,33,"['good', 'keep', 'notice', 'left', 'look', 'wonder', 'maintain', 'length', 'luck', 'dancing']",0.3427,Fox News Network YOUR WORLD WITH NEIL CAVUTO
15,33,"['make', 'come', 'clothe', 'money', 'figure', 'procedure', 'guideline', 'work', 'follow']",0.312875,Fox News Network YOUR WORLD WITH NEIL CAVUTO
16,33,"['studio', 'people', 'instructor', 'foot', 'ballroom', 'door', 'time', 'subscribe', 'depend', 'example']",0.10578000000000003,Fox News Network YOUR WORLD WITH NEIL CAVUTO
17,40,"['month', 'confident', 'way', 'thing', 'begin', 'next', 'summer', 'workplace', 'think']",0.44420000000000004,Fox News Network YOUR WORLD WITH NEIL CAVUTO
18,65,"['job', 'white_house', 'look', 'week']",0.3886421052631579,Fox News Network THE FIVE
19,65,"['wear', 'need', 'face', 'protect', 'understand', 'cover']",-0.03376153846153846,Fox News Network THE FIVE
20,65,"['put', 'kind', 'lot', 'mean', 'economic', 'use', 'true', 'sure']",0.3984666666666667,Fox News Network THE FIVE
21,65,"['give', 'idea', 'country', 'focus', 'probe', 'mention', 'economy']",0.31965999999999994,Fox News Network THE FIVE
22,65,"['work', 'provider', 'good', 'make', 'virus']",0.3404333333333333,Fox News Network THE FIVE
23,66,"['question', 'take', 'kind', 'time', 'watch', 'tiger_king']",0.22398541666666663,Fox News Network THE FIVE
24,66,"['come', 'medium', 'mean', 'work']",-0.13027407407407407,Fox News Network THE FIVE
25,66,"['money', 'make', 'hospital', 'american', 'point', 'birthday']",0.08163636363636365,Fox News Network THE FIVE
26,66,"['handshake', 'lot', 'hand', 'moment', 'shake', 'kiss', 'way', 'measure']",0.22021428571428572,Fox News Network THE FIVE
27,66,"['shutdown', 'job', 'number', 'industry', 'family', 'day', 'virus', 'good']",0.08460000000000001,Fox News Network THE FIVE
28,75,"['doctor', 'talk', 'good', 'point', 'make']",0.15845531914893615,Fox News Network THE FIVE
29,75,"['begin', 'moment', 'end', 'trump', 'start', 'live', 'light', 'tunnel', 'right', 'late', 'coronavirus']",-0.1504133333333333,Fox News Network THE FIVE
30,75,"['president', 'call', 'phone', 'idea', 'mayor', 'want', 'try']",0.3880833333333333,Fox News Network THE FIVE
31,75,"['state', 'hospital', 'need', 'great', 'tell']",0.29895555555555553,Fox News Network THE FIVE
32,75,"['open', 'factor', 'salon', 'restaurant', 'country', 'head', 'small', 'social']",-0.29843333333333333,Fox News Network THE FIVE
33,99,"['let', 'open', 'week', 'day']",0.10821428571428571,Fox News Network FOX HANNITY
34,99,"['state', 'look', 'way', 'need', 'new', 'country']",0.3652846153846153,Fox News Network FOX HANNITY
35,99,"['great', 'put', 'thing', 'tuna', 'thank', 'stop', 'keep']",0.37243333333333334,Fox News Network FOX HANNITY
36,99,"['good', 'use', 'war', 'presidency', 'general', 'remind', 'seek', 'do']",0.11705882352941176,Fox News Network FOX HANNITY
37,99,"['crisis', 'pelosi', 'show', 'nancy', 'wire', 'mob', 'medium', 'die', 'stock']",0.06336428571428572,Fox News Network FOX HANNITY
38,112,"['crisis', 'great', 'thank', 'life', 'thing', 'day']",0.22367307692307692,Fox News Network INGRAHAM ANGLE
39,112,"['begin_video', 'briefing', 'talk', 'show', 'cuomo', 'question', 'press', 'time']",0.23334615384615384,Fox News Network INGRAHAM ANGLE
40,112,"['abortion', 'pay', 'want', 'right', 'business', 'call', 'gun']",-0.043131578947368424,Fox News Network INGRAHAM ANGLE
41,112,"['lot', 'infrastructure', 'work', 'drug', 'start']",0.16525714285714285,Fox News Network INGRAHAM ANGLE
42,112,"['hospital', 'death', 'patient', 'model', 'bed', 'covid']",0.24458461538461537,Fox News Network INGRAHAM ANGLE
43,130,"['thing', 'true', 'put', 'pandemic']",0.005907142857142837,Fox News Network MEDIA BUZZ
44,130,"['day', 'business', 'begin_video', 'state', 'briefing', 'ask', 'green']",0.05253225806451614,Fox News Network MEDIA BUZZ
45,130,"['way', 'public', 'come', 'believe', 'good']",-0.010568000000000006,Fox News Network MEDIA BUZZ
46,130,"['trump', 'want', 'press', 'reporter', 'talk', 'news']",0.26553333333333334,Fox News Network MEDIA BUZZ
47,130,"['headline', 'money', 'quote', 'sense', 'read', 'wave']",-0.36157333333333336,Fox News Network MEDIA BUZZ
48,142,"['thank', 'begin_video', 'interview', 'night', 'attorney_general', 'today', 'join', 'exclusive']",0.2303711111111111,Fox News Network INGRAHAM ANGLE
49,142,"['laughter', 'give', 'thing', 'fair', 'governor', 'great', 'concern']",0.07610666666666664,Fox News Network INGRAHAM ANGLE
50,142,"['government', 'make', 'period', 'right', 'liberty', 'come', 'mean', 'way', 'take']",0.313078125,Fox News Network INGRAHAM ANGLE
51,142,"['wear', 'public', 'health', 'mask', 'continue', 'let', 'put', 'influenza', 'cause', 'certificate', 'line', 'crisis']",-0.0103375,Fox News Network INGRAHAM ANGLE
52,142,"['die', 'projection', 'percent', 'country', 'count', 'day', 'datum', 'top', 'guess']",-0.16782499999999997,Fox News Network INGRAHAM ANGLE
53,153,"['think', 'thing', 'business', 'restaurant']",0.29510000000000003,Fox News Network YOUR WORLD WITH NEIL CAVUTO
54,153,"['testing', 'happen', 'vaccine', 'test', 'make', 'economy']",0.3454055555555556,Fox News Network YOUR WORLD WITH NEIL CAVUTO
55,153,"['market', 'thank', 'point', 'gilead', 'move', 'see', 'join', 'news']",0.5130357142857143,Fox News Network YOUR WORLD WITH NEIL CAVUTO
56,153,"['governor', 'school', 'begin', 'rest', 'order']",0.26104166666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
57,153,"['cuomo', 'give', 'bed', 'hospital', 'help', 'remdesivir', 'datum', 'time', 'use']",0.12605555555555556,Fox News Network YOUR WORLD WITH NEIL CAVUTO
58,167,"['president', 'briefing', 'right', 'state', 'thank', 'bit', 'today', 'focus', 'last']",0.3484242424242424,Fox News Network YOUR WORLD WITH NEIL CAVUTO
59,167,"['try', 'democratic', 'delegate', 'support', 'many', 'end', 'battle', 'mean', 'game']",0.2078909090909091,Fox News Network YOUR WORLD WITH NEIL CAVUTO
60,167,"['see', 'week', 'death', 'day', 'case', 'rate', 'look', 'increase', 'come']",0.41853076923076926,Fox News Network YOUR WORLD WITH NEIL CAVUTO
61,167,"['work', 'keep', 'program', 'system', 'worker', 'payroll', 'pay', 'lot']",0.6444833333333333,Fox News Network YOUR WORLD WITH NEIL CAVUTO
62,167,"['government', 'virus', 'give', 'federal', 'money', 'need']",0.37227692307692306,Fox News Network YOUR WORLD WITH NEIL CAVUTO
63,256,"['thing', 'see', 'president', 'way', 'virus', 'ask', 'document']",0.1159,Fox News Network FOX HANNITY
64,256,"['take', 'world', 'travel', 'need', 'health']",0.14685333333333334,Fox News Network FOX HANNITY
65,256,"['money', 'work', 'hold', 'hostage', 'small_businesse', 'pay', 'send', 'come', 'right', 'run', 'employee']",0.11988499999999999,Fox News Network FOX HANNITY
66,256,"['want', 'investigation', 'russian', 'information', 'use', 'happen', 'lie', 'try']",0.053982352941176474,Fox News Network FOX HANNITY
67,256,"['chinese', 'nuclear', 'news', 'donald_trump', 'organization', 'activity', 'testing', 'test', 'concern']",0.35736666666666667,Fox News Network FOX HANNITY
68,273,"['governor', 'order', 'right', 'new', 'home', 'stay']",0.27632857142857137,Fox News Network FOX NEWS @ NIGHT
69,273,"['woman', 'see', 'biden', 'look', 'campaign', 'allegation', 'thing', 'vice_president']",0.21818846153846155,Fox News Network FOX NEWS @ NIGHT
70,273,"['help', 'team', 'city', 'sanctuary', 'small', 'community', 'give']",0.54948,Fox News Network FOX NEWS @ NIGHT
71,273,"['datum', 'thank', 'testing', 'video', 'doctor', 'need', 'raw', 'take', 'group', 'health', 'live']",0.45459166666666667,Fox News Network FOX NEWS @ NIGHT
